sample,no,exposure,temperature,harvest,batch
SE001,1,closed,0,0,original
SE002,2,closed,0,0,original
SE003,3,closed,0,0,original
SE004,4,closed,0,1,original
SE005,5,closed,0,1,original
SE006,6,closed,0,1,original
SE007,7,closed,0,7,original
SE008,8,closed,0,7,original
SE009,9,closed,0,7,original
SE010,10,closed,0,28,original
SE011,11,closed,0,28,original
SE012,12,closed,0,28,original
SE013,13,closed,5,0,original
SE014,14,closed,5,0,original
SE015,15,closed,5,0,original
SE016,16,closed,5,1,original
SE017,17,closed,5,1,original
SE018,18,closed,5,1,original
SE019,19,closed,5,7,original
SE020,20,closed,5,7,original
SE021,21,closed,5,7,original
SE022,22,closed,5,28,original
SE023,23,closed,5,28,original
SE024,24,closed,5,28,original
SE025,25,closed,10,0,original
SE026,26,closed,10,0,original
SE027,27,closed,10,0,original
SE028,28,closed,10,1,original
SE029,29,closed,10,1,original
SE030,30,closed,10,1,original
SE031,31,closed,10,7,original
SE032,32,closed,10,7,original
SE033,33,closed,10,7,original
SE034,34,closed,10,28,original
SE035,35,closed,10,28,original
SE036,36,closed,10,28,original
SE037,37,closed,20,0,original
SE038,38,closed,20,0,original
SE039,39,closed,20,0,original
SE040,40,closed,20,1,original
SE041,41,closed,20,1,original
SE042,42,closed,20,1,original
SE043,43,closed,20,7,original
SE044,44,closed,20,7,original
SE045,45,closed,20,7,original
SE046,46,closed,20,28,original
SE047,47,closed,20,28,original
SE048,48,closed,20,28,original
SE049,49,closed,40,0,original
SE050,50,closed,40,0,original
SE051,51,closed,40,0,original
SE052,52,closed,40,1,original
SE053,53,closed,40,1,original
SE054,54,closed,40,1,original
SE055,55,closed,40,7,original
SE056,56,closed,40,7,original
SE057,57,closed,40,7,original
SE058,58,closed,40,28,original
SE059,59,closed,40,28,original
SE060,60,closed,40,28,original
SE061,61,open,5,0,original
SE062,62,open,5,0,original
SE063,63,open,5,0,original
SE064,64,open,5,1,original
SE065,65,open,5,1,original
SE066,66,open,5,1,original
SE067,67,open,5,7,original
SE068,68,open,5,7,original
SE069,69,open,5,7,original
SE070,70,open,5,28,original
SE071,71,open,5,28,original
SE072,72,open,5,28,original
SE073,73,open,20,0,original
SE074,74,open,20,0,original
SE075,75,open,20,0,original
SE076,76,open,20,1,original
SE077,77,open,20,1,original
SE078,78,open,20,1,original
SE079,79,open,20,7,original
SE080,80,open,20,7,original
SE081,81,open,20,7,original
SE082,82,open,20,28,original
SE083,83,open,20,28,original
SE084,84,open,20,28,original
SE088,88,closed,20,60,lts
SE089,89,closed,20,60,lts
SE090,90,closed,20,60,lts
SE091,91,closed,20,120,lts
SE092,92,closed,20,120,lts
SE093,93,closed,20,120,lts
SE094,94,closed,20,240,lts
SE095,95,closed,20,240,lts
SE096,96,closed,20,240,lts
SE097,97,closed,20,480,lts
SE098,98,closed,20,480,lts
SE099,99,closed,20,480,lts
SE100,100,open,20,60,lts
SE101,101,open,20,60,lts
SE102,102,open,20,60,lts
SE103,103,open,20,120,lts
SE104,104,open,20,120,lts
SE105,105,open,20,120,lts
SE106,106,open,20,240,lts
SE107,107,open,20,240,lts
SE108,108,open,20,240,lts
SE109,109,open,20,480,lts
SE110,110,open,20,480,lts
SE111,111,open,20,480,lts
